date,company,cik,ticker,industry
2021-06-30,ION Acquisition Corp 1 Ltd.,1821018,,
2021-06-28,A. H. Belo Corp,1413898,DALN,Newspapers: Publishing or  Publishing & Printing
2021-06-21,"ServisFirst Bancshares, Inc.",1430723,SFBS,State Commercial Banks
2021-06-21,"Ocean Power Technologies, Inc.",1378140,OPTT,Electric Services
2021-06-21,Greenrose Acquisition Corp.,1790665,GNRSQ,"Retail-Retail Stores, NEC"
2021-06-16,VG Acquisition Corp.,1804591,ME,Pharmaceutical Preparations
2021-06-07,"InspireMD, Inc.",1433607,NSPR,Surgical & Medical Instruments & Apparatus
2021-06-07,INTELLIGENT SYSTEMS CORP,320340,CCRD,Services-Prepackaged Software
2021-06-02,AdvisorShares Trust,1408970,,
2021-05-28,Social Capital Hedosophia Holdings Corp. V,1818874,SOFI,Finance Services
2021-05-24,AURORA CANNABIS INC,1683541,ACB,Medicinal Chemicals & Botanical Products
2021-05-20,"InspireMD, Inc.",1433607,NSPR,Surgical & Medical Instruments & Apparatus
2021-05-17,Bluegreen Vacations Holding Corp,315858,,
2021-05-12,Golar LNG Partners LP,1415916,,
2021-05-10,HONEYWELL INTERNATIONAL INC,773840,HON,Aircraft Engines & Engine Parts
2021-04-26,Bioceres Crop Solutions Corp.,1769484,BIOX,Agricultural Chemicals
