date,company,cik,form
2020-12-22,Megalith Financial Acquisition Corp,1725872,25
2020-12-21,"DESTINATION XL GROUP, INC.",813298,25
2020-12-21,RELIV INTERNATIONAL INC,768710,25
2020-12-21,PACCAR FINANCIAL CORP,731288,25
2020-12-18,Social Capital Hedosophia Holdings Corp. II,1801169,25
2020-12-17,LINE Corp,1611820,25
2020-12-11,PLAINS GP HOLDINGS LP,1581990,25
2020-12-11,PLAINS ALL AMERICAN PIPELINE LP,1070423,25
2020-12-10,ProShares Trust II,1415311,25
2020-12-10,ProShares Trust II,1415311,25
2020-12-10,ProShares Trust II,1415311,25
2020-12-10,ProShares Trust II,1415311,25
2020-11-30,"PARTS iD, Inc.",1698113,25
2020-11-30,"Purple Innovation, Inc.",1643953,25
2020-11-16,"Eos Energy Enterprises, Inc.",1805077,25
2020-11-16,GUANGSHEN RAILWAY CO LTD,1012139,25
2020-11-13,Canopy Growth Corp,1737927,25
2020-11-12,"EASTERN ENERGY GAS HOLDINGS, LLC",1603291,25
2020-11-09,Avery Dennison Corp,8818,25
2020-10-30,"HOST HOTELS & RESORTS, INC.",1070750,25
2020-10-30,AdvisorShares Trust,1408970,25
2020-10-23,"Kadmon Holdings, Inc.",1557142,25
2020-10-21,Medley Capital Corp,1490349,25
2020-10-20,Amplify ETF Trust,1633061,25
2020-10-13,OSI ETF Trust,1672826,25
2020-10-13,INPHI Corp,1160958,25
2020-10-09,WESTELL TECHNOLOGIES INC,1002135,25
2020-10-01,"Energy Transfer Operating, L.P.",1161154,25
2020-09-30,AMERICAN ELECTRIC POWER CO INC,4904,25
2020-09-30,NORTHWESTERN CORP,73088,25
2020-09-29,Graf Industrial Corp.,1745317,25
2020-09-28,DIVIDEND & INCOME FUND,1059213,25
2020-09-24,ASTRAZENECA PLC,901832,25
2020-09-18,Keurig Dr Pepper Inc.,1418135,25
2020-09-11,New Mountain Finance Corp,1496099,25
2020-09-10,MARRIOTT INTERNATIONAL INC /MD/,1048286,25
2020-09-09,B COMMUNICATIONS LTD,1402606,25
2020-09-04,"Meet Group, Inc.",1078099,25
2020-08-28,voxeljet AG,1582581,25
2020-08-27,FlexShares Trust,1491978,25
2020-08-25,"Bancorp 34, Inc.",1668340,25
2020-08-25,Ando Holdings Ltd.,1663641,25
2020-08-21,"KINGOLD JEWELRY, INC.",1089531,25
2020-08-21,GS Finance Corp.,1419828,25
2020-08-21,GOLDMAN SACHS GROUP INC,886982,25
2020-08-21,GOLDMAN SACHS GROUP INC,886982,25
2020-08-18,Invesco Exchange-Traded Self-Indexed Fund Trust,1657201,25
2020-08-10,Principal Exchange-Traded Funds,1572661,25
2020-08-10,"LEGG MASON, INC.",704051,25
2020-08-05,"POSITIVE PHYSICIANS HOLDINGS, INC.",1752039,25
2020-07-29,RMR Real Estate Income Fund,1452477,25
2020-07-27,VirnetX Holding Corp,1082324,25
2020-07-24,PICO HOLDINGS INC /NEW,830122,25
2020-07-20,DraftKings Inc.,1772757,25
2020-07-09,ETFis Series Trust I,1559109,25
2020-07-02,CREDIT SUISSE AG,1053092,25
2020-07-02,CREDIT SUISSE AG,1053092,25
2020-06-30,Ottawa Bancorp Inc,1675192,25
2020-06-29,BBX Capital Corp,315858,25
2020-06-25,ETF Series Solutions,1540305,25
